sound,description,anterior,approximant,atr,back,breathy,centralized,click,consonantal,constricted,continuant,coronal,creaky,distributed,dorsal,glottal,high,labial,laminal,lateral,length,low,nasal,pharyngeal,preaspirated,preglottalized,prenasal,retracted,rhotacized,round,sibilant,sonorant,spread,strident,syllabic,tense,tone_contour,tone_end,tone_level,tone_peak,tone_start,trilled,vibrant,voice
a,back=-1 consonantal=-1 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aː,back=-1 consonantal=-1 length=1 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aːː,back=-1 consonantal=-1 length=2 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
aˑ,back=-1 consonantal=-1 length=0 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
a˞,back=-1 consonantal=-1 low=1 rhotacized=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ã,back=-1 consonantal=-1 low=1 nasal=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ãː,back=-1 consonantal=-1 length=1 low=1 nasal=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ă,back=-1 consonantal=-1 length=-2 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ä,back=-1 centralized=1 consonantal=-1 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
äː,back=-1 centralized=1 consonantal=-1 length=1 low=1 round=-1 syllabic=1 tense=1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
